listing,price,brand,size
"Louis Vuitton Flap Style Dust Bag - Authentic – Small Size 12.5"" x 9”",22.0,Louis Vuitton,Size: OS
Gold sequins and black cosmetic bag- front is see through mesh very cute,10.0,N/A,Size: OS
Rebecca Minkoff Leo Floral Applique Clutch,89.0,Rebecca Minkoff,Size: OS
Walt Disney Gallery Tan Makeup Bag Cosmetic Bag‎ Mickey Mouse Goofy Donald Pluto,21.0,Gallery,Size: OS
Gucci ‘Soho Disco’ Crossbody,687.0,Gucci,Size: OS
*RARE* NWT COACH Guang Yu Rexy Small Zip Around Wallet,165.0,Coach,Size: 4 3/4” x 3 3/4”
Free People Straw bag,90.0,Free People,Size: OS
Coach turnlock pebbled Brown‎ Taylor Tote purse,75.0,Coach,Size: OS
EvanAnaru Italian Artisan Patchwork Leather Haircalf Croc Boho Boutique Bag,488.0,eva varro,Size: OS
Cherry Embroidered White Crossbody Bag,35.0,Red Cherry,Size: OS
Molo Moni bag in Shocking Pink 11x8,28.0,N/A,Size: OS
Elegant White Quilted Backpack,58.0,luli bebe,Size: OS
Mlouye Sera mini tote cranberry (with crossbody strap),650.0,Mlouye,Size: OS
Antique Brown Hornback Alligator Crocodile With Feet Paws Purse Clutch 1940’s,499.0,Unknown,Size: OS
Authentic Dior Trotter Bag,1250.0,Dior,Size: OS
Michael Kors Signature Mirror Metallic Jet Set Chain Tote,80.0,Michael Kors,Size: OS
NWT Kenneth Cole Reaction white leather flap bag,49.0,Kenneth Cole Reaction,Size: OS
New Boho Tapestry Crossbody Purse Animal Fur Leopard Print Black‎ w/ Leather,38.0,Chloe & Lex,Size: OS
Elegant Black Leather Tote Bag,30.0,Mathew + Julian,Size: OS
Brahmin Tabitha Melbourne Leather Shoulder Bag Aqua Blue Croc Embossed,259.0,Brahmin,Size: OS
Floral rampage shoulder purse,10.0,Rampage,Size: OS
Vera Bradley bright floral two-way bag,20.0,Vera Bradley,Size: 9.5x8x3
Chic Black Leather Shoulder Bag with Gold Accents,10.0,no brand,Size: OS
Giani Bernini Black Logo crosbody Bag,18.0,Giani Bernini,Size: OS
LONGCHAMP shoulder chain bag,200.0,Longchamp,Size: OS
NWT Louis Vuitton Twist MM,6799.0,PINK Victoria's Secret,Size: OS
Vera Bradley RETIRED Cambridge Print‎ Crossbody Bag Green Black Blue,15.0,Vera Bradley,Size: OS
Vera Bradley Cambridge Sherry Zip Quilted Cosmetic Case Bag Hot Tool,14.0,Vera Bradley,Size: OS
Dooney & Bourke pink signature short strap handbag,42.0,Dooney & Bourke,Size: 14 x 10
Kate Spade Purse Handbag Leather New York Hayes Mini Bucket Bag Pocketbook,125.0,kate spade,Size: OS
Authentic Coach Corner Zip Wristlet in Sparkly Butterfly Print Wallet Bag Purse,110.0,Coach,Size: OS
COACH Soho Large Buckle Hobo Shoulder Bag 15075,150.0,Coach,Size: OS
Makeup Train Case w/LED Mirror Professional Travel Cosmetic Bag Makeup Organizer,43.0,Unbranded,Size: 13 x 9 x 4.5 inches
Badgley Mischka Vegan Leather Quilted Small Hand Bag Chain Handle Light Taupe,32.0,Badgley Mischka,Size: OS
Nine West Maroon Backpack,51.0,Nine West,Size: OS
BCBGMaxAzria Green Pebbled Leather Tote Bag,69.0,BCBGMaxAzria,Size: 14” x 10”
Mona B Upcycled Canvas/Leather Large Handbag,20.0,Mona B,"Size: 20"" wide 15"" tall 4"" depth"
Authentic Louis Vuitton New By The Pool Palm Springs Mini Backpack Bracelet Bag,1295.0,Louis Vuitton,Size: See Description
Vintage Micheal Micheal Kors Studded Leather Purse,85.0,N/A,Size: OS
Dooney & Bourke Navy Blue Croc-Embossed Women's Bag,75.0,Dooney & Bourke,Size: OS
Fendi Zucca Brown and Black Satchel | Very Good Condition,1299.0,Fendi,Size: ~11(w) x 8(h) x 6(d)
Two-Tone Dooney & Bourke Suede Leather Shoulder Bag or Handbag,99.0,Dooney & Bourke,Size: OS
Jordan Hesi Backpack Nike App Limited Release,75.0,Jordan,Size: OS
Kate Spade Taupe Leather Shoulder Bag,45.0,kate spade,Size: OS
Free People Brown Crossbody Bag with Adjustable Strap and Minimalist Design,38.0,Free People,Size: OS
Betsey Johnson White and Red Ladybug 🐞 Crossbody Bag,75.0,Betsey Johnson,Size: OS
Louis Vuitton LV Monogram Marceau GM Vintage Crossbody Bag.,495.0,Louis Vuitton,Size: OS
"Kate Spade ""Maryanne Flatiron"" Bag Colorful Geometric",30.0,kate spade new york,Size: OS
Unbranded Tan crossbody purse NWT HANDBAG,8.0,No Brand,Size: AU OS
America & Beyond Canvas Tote Bag Pom Poms Bucket Style Purse Beach Boho,35.0,America & Beyond,Size: OS
"Gucci GG Canvas Tote Bag,  in good condition",600.0,Gucci,Size: OS
Japanese vintage beaded purse Swarovski rhinestones,100.0,Vintage,Size: OS
Vintage Y2K Coach Hampton Signature Pink Shoulder Bag (Style 6830),300.0,Coach,Size: OS
"Vera Bradley ""Lemon Parfait"" Retired Knot‎ Clutch Shoulder Bag Purse Boho Hippie",25.0,Vera Bradley,Size: OS
Trails West Navy Blue Padded Tall Boot Bag Fleece Lined Equestrian Boot Bags,40.0,Trails West,Size: OS
8AM Forever Graffiti Bag,41.0,8AM Forever,Size: OS
Gianna Chiarini Shoulder Bag,25.0,Gianni Chiarini,Size: OS
Stylish Pink Women's Bag with Leopard Strap,34.0,N/A,Size: OS
Louis Vuitton Tresor wallet in Monogram free Gold Chain,250.0,Louis Vuitton,Size: OS
Louis Vuitton Brown Box- Authentic - Drawer Style 8.5 x 5.25 x 1.75,20.0,Louis Vuitton,Size: OS
Iconic Coach Metallic Taupe Leather Purse,100.0,N/A,Size: OS
"Antik Kraft black leather Crossbody bag with embroidered strap, Free People vibe",50.0,Antik Kraft,Size: OS
Vintage Dooney & Bourke Leather Keychain/Fob Heat Stamped Logo,11.0,Dooney & Bourke,Size: OS
NWT Frye Melissa Washed Leather Shopper Bag,275.0,Frye,Size: OS
Kate Spade Plum Zip Wallet,25.0,kate spade,Size: OS
💎✨BEAUTIFUL✨💎Authentic Louis Vuitton Tompkins square vernis brown,787.0,Louis Vuitton,Size: OS
See By Chloe Hana Compact Trifold Wallet Pink Leather & Suede EUC Retail $395,229.0,See By Chloe,Size: 4x4x1
Burberry Pouch Vintage Check Wristlet Clutch Canvas and Leather Burberrys,225.0,Burberry,"Size: 8"" x 6"" x 2.5"""
Black Leather Women's Bag,40.0,T.J.Maxx,Size: OS
Sewing Tote Bag Purse Quilted Zipper Top 17 x 10 Cotton Colorful Flat Bottom Bag,12.0,The Unbranded Brand,Size: OS
Louis Vuitton Dandy MM Briefcase Business Bag Epi Brown,2849.0,Louis Vuitton,Size: OS
Henri Bendel Snake Waller Black,18.0,henri bendel,Size: OS
Darcy‎ Marks London Brown Faux Leather Handbag Purse Shoulder Bag,13.0,Darcy Marks,Size: OS
"Not Fragile Like a Flower, Fragile Like a Bomb Tote",20.0,N/A,Size: OS
Giuseppe Zanotti Black Dust Bag or Protective Cover 12” x 15”‎,9.0,Giuseppe Zanotti,Size: OS
Coach Vintage Brown & Gold SignatureJacquard Canvas Wristlet,35.0,Coach,Size: OS
Michael Kors‎ Ellis XL Zip Clutch Studded  Wristlet,25.0,Michael Kors,Size: OS
Dooney & Bourke Deep Red Textured Wallet,59.0,Dooney & Bourke,Size: OS
Louis Vuitton mini pochette night damier ebene,850.0,Louis Vuitton,Size: OS
Calvin Klein Black Sling Backpack Crossbody Bag,22.0,Calvin Klein,Size: OS
Made in Pakistan Multicolor Button Sequin Mini Shoulder Bag,25.0,No Brand,Size: OS
"Touareg Blue People Mud Cloth Puffy Bag Mali, West Africa Navy + Orange",40.0,Touareg Blue People Mud Cloth,Size: OS
Prada ‘City Tote’,349.0,Prada,Size: OS
